600	0.169643
650	0.0998979
700	0.0614191
750	0.0388178
800	0.0252929
850	0.0168983
900	0.0115351
950	0.00801931
1000	0.0056239
1050	0.00401186
1100	0.00288344
1150	0.00211496
1200	0.00155185
1250	0.00115121
1300	0.000861682
1350	0.000647436
1400	0.000491631
1450	0.00037504
1500	0.000287754
1550	0.000221444
1600	0.000171122
1650	0.000133359
1700	0.000104173
1750	8.15999e-05
1800	6.41427e-05
1850	5.04729e-05
1900	3.99086e-05
1950	3.16359e-05
2000	2.5087e-05
2050	2.00868e-05
2100	1.60334e-05
2150	1.28249e-05
2200	1.03083e-05
2250	8.26177e-06
2300	6.61814e-06
2350	5.35334e-06
2400	4.3327e-06
2450	3.50894e-06
2500	2.83504e-06
